######## ARM pool200 ########
=== train pool200 pool=200 freeze=0 loss=ce_fact requires=grammar@>=1.0:prelayer -> logs/v12_phase0/pool200_pool200.log
  [fact] mode=delta layers=4 lr=3e-5 save_every=1000 spec=checkpoints_v12_phase0/pool200/fact_retrieval/fact_band_spec.json
+ .venv/bin/python -m v12.train --preset v12_grammar_dyn --stage pretrain --dataset fact --pretrain_sources dclm,fineweb --pretrain_weights 40,60 --substrate grammar@1.0 --registry v12_registry --grow_layers @checkpoints_v12_phase0/pool200/fact_retrieval/fact_band_spec.json --layer_head_budget 16 --head_gate --write_phase_address --freeze_layers base --attach_mode sequential --stage_loss ce_fact --fused_ce --fact_value_pool 200 --gen_every 0 --gen_prompt Record: bofim means gold. Record: kaner means silver. Query: bofim means --batch_size 8 --seq_len 512 --lr 3e-5 --weight_decay 0.01 --token_budget 40000000 --checkpoint_dir checkpoints_v12_phase0/pool200/fact_retrieval --save_every_steps 1000
[Discord] Webhook configured -- notifications enabled
Wall clock start: 2026-07-29 11:09:37
============================================================
  V12: PAM with new memory dynamics
  Preset: v12_grammar_dyn | Stage: pretrain | Dataset: fact
============================================================

Stage loss: ce_fact — Answer-masked CE + gate-surprisal + hard-negative contrastive (fact stage).
  overrides applied: {'gate_surprisal_lambda': 0.1, 'gate_surprisal_tau': 0.5, 'gate_surprisal_sign': 1.0, 'fact_contrastive_lambda': 0.1, 'fact_contrastive_tau': 2.0}

Config: {'vocab_size': 50261, 'dim': 384, 'n_heads': 16, 'head_dim': 64, 'n_layers': 4, 'expand': 3, 'dropout': 0.1, 'max_seq_len': 512, 'use_learned_pos': False, 'use_rope': True, 'use_gsp': True, 'fused_qkv': True, 'qk_norm': False, 'tie_weights': True, 'gradient_checkpointing': True, 'activation': 'swish', 'chunk_size': 256, 'decay_mode': 'head', 'write_mode': 'additive', 'n_states': 3, 'delta_chunk': 64, 'state_dt_spread': 2.0, 'base_dt_bias': -4.0, 'gate_content_aware': True, 'protect_gate_bias': -3.0, 'routing_content_aware': False, 'state_compete': False, 'phase_init': 'zero', 'route_balance_lambda': 0.0, 'aux_loss_weight': 1.0, 'fused_e3': True, 'recompute_pam_chunks': False, 'gamma_floor': 0.0, 'gate_surprisal_lambda': 0.1, 'gate_surprisal_tau': 0.5, 'gate_surprisal_sign': 1.0, 'fact_contrastive_lambda': 0.1, 'fact_contrastive_tau': 2.0, 'vault_state': False, 'vault_state_idx': 0, 'write_phase_address': True, 'write_phase_key_conditional': False, 'delta_solve_mode': 'backsub', 'vault_norm_bound': 0.0, 'module_adapter_rank': 0, 'head_gate': True, 'head_gate_l0_lambda': 0.001, 'head_gate_init_logalpha': 3.0, 'layer_specs': None}
Memory dynamics: decay_mode=head, write_mode=additive, n_states=3, chunk_size=256
Batch size: 8, Epochs: 10, LR: 3e-05
Token budget: 40,000,000

Loading fact (seq_len=512)...
[fact_data] train=78,125 val=512 examples, seq_len=512, templates=12 (train), value_pool=200 (train), vocab=50261
Train batches: 9766, Val batches: 64
[substrate] WARNING: substrate vocab_size=50257 != tokenizer/preset vocab_size=50261
[substrate] grammar@1.0 -> ['grammar@1.0'] (4 frozen base layers)

Model parameters: {'embedding (tied)': 38597376, 'blocks': 23388692, 'norms': 768, 'lm_head': 296064, 'total': 62282900}
Total: 62,282,900 (62.3M)
[M4 grow] +4 layers [4, 5, 6, 7] on base of 4 (skills=['fact_retrieval', 'fact_retrieval', 'fact_retrieval', 'fact_retrieval'], attach_mode=sequential); total layers=8
[M4 freeze] froze blocks [0, 1, 2, 3]; trainable params=62,233,608. (requires_grad=False => excluded from optimizer, no wd drift)
Param groups: 56 tensors (62,214,912) with wd, 57 tensors (18,696) without
fused_ce enabled (chunked linear+CE; logits never materialized)

Training on cuda
Parameters: {'embedding (tied)': 38597376, 'blocks': 46728092, 'norms': 768, 'lm_head': 296064, 'total': 85622300}
Total: 85,622,300 (85.6M)
Epochs: 1..9999, Batches/epoch: 9766
Periodic checkpoint: every 1000 steps -> latest.pt


============================================================
Epoch 1/9999
============================================================
  [1] 0/9766 (0%) loss=10.3602 ppl=31576.1 lr=3.00e-08 | 1050 tok/s (avg 1050) ETA 0m00s | GPU 0.9/3.3GB | gtok=4096
  [1] 1200/9766 (12%) loss=4.0575 ppl=57.8 lr=3.00e-05 | 1116 tok/s (avg 1231) ETA 474m59s | GPU 0.9/3.8GB | gtok=4919296
  [1] 1250/9766 (13%) loss=3.8851 ppl=48.7 lr=3.00e-05 | 1233 tok/s (avg 1231) ETA 472m11s | GPU 0.9/3.8GB | gtok=5124096
  [1] 1300/9766 (13%) loss=3.9101 ppl=49.9 lr=2.99e-05 | 1253 tok/s (avg 1232) ETA 469m06s | GPU 0.9/3.8GB | gtok=5328896
  [1] 1350/9766 (14%) loss=4.0725 ppl=58.7 lr=2.99e-05 | 1244 tok/s (avg 1232) ETA 466m09s | GPU 0.9/3.8GB | gtok=5533696
  [1] 1400/9766 (14%) loss=3.9529 ppl=52.1 lr=2.99e-05 | 1226 tok/s (avg 1232) ETA 463m28s | GPU 0.9/3.8GB | gtok=5738496
  [1] 1450/9766 (15%) loss=3.6318 ppl=37.8 lr=2.98e-05 | 1229 tok/s (avg 1232) ETA 460m45s | GPU 0.9/3.8GB | gtok=5943296
  [1] 1500/9766 (15%) loss=3.5137 ppl=33.6 lr=2.98e-05 | 1232 tok/s (avg 1232) ETA 457m58s | GPU 0.9/3.8GB | gtok=6148096
  [1] 1550/9766 (16%) loss=3.8104 ppl=45.2 lr=2.98e-05 | 1230 tok/s (avg 1232) ETA 455m14s | GPU 0.9/3.8GB | gtok=6352896
  [1] 1600/9766 (16%) loss=4.0134 ppl=55.3 lr=2.97e-05 | 1241 tok/s (avg 1232) ETA 452m22s | GPU 0.9/3.8GB | gtok=6557696
  [1] 1650/9766 (17%) loss=3.1535 ppl=23.4 lr=2.97e-05 | 1236 tok/s (avg 1232) ETA 449m33s | GPU 0.9/3.8GB | gtok=6762496
  [1] 1700/9766 (17%) loss=3.9926 ppl=54.2 lr=2.96e-05 | 1232 tok/s (avg 1232) ETA 446m47s | GPU 0.9/3.8GB | gtok=6967296
  [1] 1750/9766 (18%) loss=3.7112 ppl=40.9 lr=2.96e-05 | 1232 tok/s (avg 1232) ETA 444m01s | GPU 0.9/3.8GB | gtok=7172096
  [1] 1800/9766 (18%) loss=3.2068 ppl=24.7 lr=2.95e-05 | 1240 tok/s (avg 1232) ETA 441m10s | GPU 0.9/3.8GB | gtok=7376896
  [1] 1850/9766 (19%) loss=3.7082 ppl=40.8 lr=2.94e-05 | 1242 tok/s (avg 1233) ETA 438m18s | GPU 0.9/3.8GB | gtok=7581696
  [1] 1900/9766 (19%) loss=3.7322 ppl=41.8 lr=2.94e-05 | 1242 tok/s (avg 1233) ETA 435m27s | GPU 0.9/3.8GB | gtok=7786496
  [1] 1950/9766 (20%) loss=3.4598 ppl=31.8 lr=2.93e-05 | 1239 tok/s (avg 1233) ETA 432m38s | GPU 0.9/3.8GB | gtok=7991296
Saved checkpoint: checkpoints_v12_phase0/pool200/fact_retrieval/latest.pt
  [checkpoint @ step 2000, 8,192,000 tok]
  [1] 2000/9766 (20%) loss=3.5292 ppl=34.1 lr=2.92e-05 | 1217 tok/s (avg 1233) ETA 430m01s | GPU 0.9/3.8GB | gtok=8196096
  [1] 2050/9766 (21%) loss=3.0826 ppl=21.8 lr=2.92e-05 | 1237 tok/s (avg 1233) ETA 427m12s | GPU 0.9/3.8GB | gtok=8400896
  [1] 2100/9766 (22%) loss=3.2101 ppl=24.8 lr=2.91e-05 | 1229 tok/s (avg 1233) ETA 424m28s | GPU 0.9/3.8GB | gtok=8605696
  [1] 2150/9766 (22%) loss=3.5319 ppl=34.2 lr=2.90e-05 | 1190 tok/s (avg 1232) ETA 422m03s | GPU 0.9/3.8GB | gtok=8810496
  [1] 2200/9766 (23%) loss=3.3296 ppl=27.9 lr=2.89e-05 | 1193 tok/s (avg 1231) ETA 419m35s | GPU 0.9/3.8GB | gtok=9015296
  [1] 2250/9766 (23%) loss=3.4873 ppl=32.7 lr=2.88e-05 | 1234 tok/s (avg 1231) ETA 416m47s | GPU 0.9/3.8GB | gtok=9220096
  [1] 2300/9766 (24%) loss=3.5832 ppl=36.0 lr=2.87e-05 | 1232 tok/s (avg 1231) ETA 414m00s | GPU 0.9/3.8GB | gtok=9424896
  [1] 2350/9766 (24%) loss=3.4804 ppl=32.5 lr=2.86e-05 | 1244 tok/s (avg 1231) ETA 411m08s | GPU 0.9/3.8GB | gtok=9629696
  [1] 2400/9766 (25%) loss=3.2865 ppl=26.7 lr=2.85e-05 | 1254 tok/s (avg 1232) ETA 408m13s | GPU 0.9/3.8GB | gtok=9834496
  [1] 2450/9766 (25%) loss=2.4806 ppl=11.9 lr=2.84e-05 | 1225 tok/s (avg 1232) ETA 405m29s | GPU 0.9/3.8GB | gtok=10039296
  [1] 2500/9766 (26%) loss=3.1047 ppl=22.3 lr=2.83e-05 | 1239 tok/s (avg 1232) ETA 402m40s | GPU 0.9/3.8GB | gtok=10244096
  [1] 2550/9766 (26%) loss=3.4923 ppl=32.9 lr=2.82e-05 | 1211 tok/s (avg 1231) ETA 400m02s | GPU 0.9/3.8GB | gtok=10448896
  [1] 2600/9766 (27%) loss=3.3971 ppl=29.9 lr=2.81e-05 | 1255 tok/s (avg 1232) ETA 397m07s | GPU 0.9/3.8GB | gtok=10653696
  [1] 2650/9766 (27%) loss=3.2655 ppl=26.2 lr=2.79e-05 | 1254 tok/s (avg 1232) ETA 394m13s | GPU 0.9/3.8GB | gtok=10858496
  [1] 2700/9766 (28%) loss=3.2529 ppl=25.9 lr=2.78e-05 | 1241 tok/s (avg 1232) ETA 391m23s | GPU 0.9/3.8GB | gtok=11063296
  [1] 2750/9766 (28%) loss=3.1868 ppl=24.2 lr=2.77e-05 | 1238 tok/s (avg 1232) ETA 388m35s | GPU 0.9/3.8GB | gtok=11268096
  [1] 2800/9766 (29%) loss=3.4709 ppl=32.2 lr=2.76e-05 | 1235 tok/s (avg 1232) ETA 385m48s | GPU 0.9/3.8GB | gtok=11472896
  [1] 2850/9766 (29%) loss=3.3462 ppl=28.4 lr=2.74e-05 | 1226 tok/s (avg 1232) ETA 383m04s | GPU 0.9/3.8GB | gtok=11677696
  [1] 2900/9766 (30%) loss=3.4695 ppl=32.1 lr=2.73e-05 | 1210 tok/s (avg 1232) ETA 380m25s | GPU 0.9/3.8GB | gtok=11882496
  [1] 2950/9766 (30%) loss=2.9310 ppl=18.7 lr=2.71e-05 | 1204 tok/s (avg 1231) ETA 377m48s | GPU 0.9/3.8GB | gtok=12087296
Saved checkpoint: checkpoints_v12_phase0/pool200/fact_retrieval/latest.pt
  [checkpoint @ step 3000, 12,288,000 tok]
  [1] 3000/9766 (31%) loss=3.1606 ppl=23.6 lr=2.70e-05 | 1225 tok/s (avg 1231) ETA 375m03s | GPU 0.9/3.8GB | gtok=12292096
  [1] 3050/9766 (31%) loss=3.2467 ppl=25.7 lr=2.69e-05 | 1226 tok/s (avg 1231) ETA 372m19s | GPU 0.9/3.8GB | gtok=12496896
  [1] 3100/9766 (32%) loss=3.4103 ppl=30.3 lr=2.67e-05 | 1226 tok/s (avg 1231) ETA 369m34s | GPU 0.9/3.8GB | gtok=12701696
  [1] 3150/9766 (32%) loss=3.3272 ppl=27.9 lr=2.65e-05 | 1238 tok/s (avg 1231) ETA 366m46s | GPU 0.9/3.8GB | gtok=12906496
  [1] 3200/9766 (33%) loss=3.2893 ppl=26.8 lr=2.64e-05 | 1233 tok/s (avg 1231) ETA 363m59s | GPU 0.9/3.8GB | gtok=13111296
  [1] 3250/9766 (33%) loss=3.1449 ppl=23.2 lr=2.62e-05 | 1234 tok/s (avg 1231) ETA 361m12s | GPU 0.9/3.8GB | gtok=13316096
  [1] 3300/9766 (34%) loss=3.0669 ppl=21.5 lr=2.61e-05 | 1234 tok/s (avg 1231) ETA 358m25s | GPU 0.9/3.8GB | gtok=13520896
  [1] 3350/9766 (34%) loss=3.3022 ppl=27.2 lr=2.59e-05 | 1251 tok/s (avg 1232) ETA 355m34s | GPU 0.9/3.8GB | gtok=13725696
  [1] 3400/9766 (35%) loss=2.8306 ppl=17.0 lr=2.57e-05 | 1262 tok/s (avg 1232) ETA 352m40s | GPU 0.9/3.8GB | gtok=13930496
  [1] 3450/9766 (35%) loss=3.3307 ppl=28.0 lr=2.56e-05 | 1232 tok/s (avg 1232) ETA 349m54s | GPU 0.9/3.8GB | gtok=14135296
  [1] 3500/9766 (36%) loss=3.2549 ppl=25.9 lr=2.54e-05 | 1229 tok/s (avg 1232) ETA 347m08s | GPU 0.9/3.8GB | gtok=14340096
  [1] 3550/9766 (36%) loss=3.2632 ppl=26.1 lr=2.52e-05 | 1228 tok/s (avg 1232) ETA 344m23s | GPU 0.9/3.8GB | gtok=14544896
  [1] 3600/9766 (37%) loss=3.0214 ppl=20.5 lr=2.50e-05 | 1231 tok/s (avg 1232) ETA 341m37s | GPU 0.9/3.8GB | gtok=14749696
  [1] 3650/9766 (37%) loss=2.6606 ppl=14.3 lr=2.49e-05 | 1220 tok/s (avg 1232) ETA 338m53s | GPU 0.9/3.8GB | gtok=14954496
  [1] 3700/9766 (38%) loss=3.2551 ppl=25.9 lr=2.47e-05 | 1232 tok/s (avg 1232) ETA 336m07s | GPU 0.9/3.8GB | gtok=15159296
  [1] 3750/9766 (38%) loss=3.0822 ppl=21.8 lr=2.45e-05 | 1224 tok/s (avg 1232) ETA 333m22s | GPU 0.9/3.8GB | gtok=15364096
  [1] 3800/9766 (39%) loss=2.9138 ppl=18.4 lr=2.43e-05 | 1220 tok/s (avg 1232) ETA 330m39s | GPU 0.9/3.8GB | gtok=15568896
  [1] 3850/9766 (39%) loss=2.7254 ppl=15.3 lr=2.41e-05 | 1233 tok/s (avg 1232) ETA 327m52s | GPU 0.9/3.8GB | gtok=15773696
  [1] 3900/9766 (40%) loss=2.7551 ppl=15.7 lr=2.39e-05 | 1218 tok/s (avg 1231) ETA 325m08s | GPU 0.9/3.8GB | gtok=15978496
  [1] 3950/9766 (40%) loss=3.0491 ppl=21.1 lr=2.37e-05 | 1204 tok/s (avg 1231) ETA 322m28s | GPU 0.9/3.8GB | gtok=16183296
Saved checkpoint: checkpoints_v12_phase0/pool200/fact_retrieval/latest.pt
  [checkpoint @ step 4000, 16,384,000 tok]
  [1] 4000/9766 (41%) loss=2.8607 ppl=17.5 lr=2.35e-05 | 1234 tok/s (avg 1231) ETA 319m41s | GPU 0.9/3.8GB | gtok=16388096
  [1] 4050/9766 (41%) loss=3.6416 ppl=38.2 lr=2.33e-05 | 1245 tok/s (avg 1231) ETA 316m52s | GPU 0.9/3.8GB | gtok=16592896
  [1] 4100/9766 (42%) loss=2.9768 ppl=19.6 lr=2.31e-05 | 1246 tok/s (avg 1231) ETA 314m03s | GPU 0.9/3.8GB | gtok=16797696
  [1] 4150/9766 (43%) loss=3.1014 ppl=22.2 lr=2.29e-05 | 1243 tok/s (avg 1232) ETA 311m14s | GPU 0.9/3.8GB | gtok=17002496
  [1] 4200/9766 (43%) loss=2.5595 ppl=12.9 lr=2.27e-05 | 1084 tok/s (avg 1230) ETA 308m58s | GPU 0.9/3.8GB | gtok=17207296
  [1] 4250/9766 (44%) loss=2.9134 ppl=18.4 lr=2.25e-05 | 1109 tok/s (avg 1228) ETA 306m35s | GPU 0.9/3.8GB | gtok=17412096
  [1] 4300/9766 (44%) loss=3.0743 ppl=21.6 lr=2.23e-05 | 1142 tok/s (avg 1227) ETA 304m04s | GPU 0.9/3.8GB | gtok=17616896
  [1] 4350/9766 (45%) loss=2.7929 ppl=16.3 lr=2.21e-05 | 1262 tok/s (avg 1227) ETA 301m11s | GPU 0.9/3.8GB | gtok=17821696
  [1] 4400/9766 (45%) loss=3.1807 ppl=24.1 lr=2.19e-05 | 1256 tok/s (avg 1228) ETA 298m20s | GPU 0.9/3.8GB | gtok=18026496
  [1] 4450/9766 (46%) loss=2.6367 ppl=14.0 lr=2.17e-05 | 1239 tok/s (avg 1228) ETA 295m31s | GPU 0.9/3.8GB | gtok=18231296
  [1] 4500/9766 (46%) loss=2.6554 ppl=14.2 lr=2.14e-05 | 1244 tok/s (avg 1228) ETA 292m42s | GPU 0.9/3.8GB | gtok=18436096
  [1] 4550/9766 (47%) loss=2.8626 ppl=17.5 lr=2.12e-05 | 1248 tok/s (avg 1228) ETA 289m52s | GPU 0.9/3.8GB | gtok=18640896
  [1] 4600/9766 (47%) loss=2.7103 ppl=15.0 lr=2.10e-05 | 1241 tok/s (avg 1228) ETA 287m03s | GPU 0.9/3.8GB | gtok=18845696
  [1] 4650/9766 (48%) loss=3.0382 ppl=20.9 lr=2.08e-05 | 1264 tok/s (avg 1229) ETA 284m11s | GPU 0.9/3.8GB | gtok=19050496
  [1] 4700/9766 (48%) loss=3.0347 ppl=20.8 lr=2.06e-05 | 1267 tok/s (avg 1229) ETA 281m19s | GPU 0.9/3.8GB | gtok=19255296
  [1] 4750/9766 (49%) loss=3.0907 ppl=22.0 lr=2.03e-05 | 1270 tok/s (avg 1229) ETA 278m27s | GPU 0.9/3.8GB | gtok=19460096
  [1] 4800/9766 (49%) loss=2.7900 ppl=16.3 lr=2.01e-05 | 1243 tok/s (avg 1230) ETA 275m38s | GPU 0.9/3.8GB | gtok=19664896
  [1] 4850/9766 (50%) loss=3.2825 ppl=26.6 lr=1.99e-05 | 1252 tok/s (avg 1230) ETA 272m49s | GPU 0.9/3.8GB | gtok=19869696
  [1] 4900/9766 (50%) loss=2.6266 ppl=13.8 lr=1.97e-05 | 1251 tok/s (avg 1230) ETA 270m00s | GPU 0.9/3.8GB | gtok=20074496
  [1] 4950/9766 (51%) loss=2.9590 ppl=19.3 lr=1.94e-05 | 1243 tok/s (avg 1230) ETA 267m11s | GPU 0.9/3.8GB | gtok=20279296
Saved checkpoint: checkpoints_v12_phase0/pool200/fact_retrieval/latest.pt
  [checkpoint @ step 5000, 20,480,000 tok]
  [1] 5000/9766 (51%) loss=3.0000 ppl=20.1 lr=1.92e-05 | 1235 tok/s (avg 1230) ETA 264m24s | GPU 0.9/3.8GB | gtok=20484096
  [1] 5050/9766 (52%) loss=2.7391 ppl=15.5 lr=1.90e-05 | 1244 tok/s (avg 1230) ETA 261m36s | GPU 0.9/3.8GB | gtok=20688896
  [1] 5100/9766 (52%) loss=2.7173 ppl=15.1 lr=1.87e-05 | 1234 tok/s (avg 1230) ETA 258m49s | GPU 0.9/3.8GB | gtok=20893696
  [1] 5150/9766 (53%) loss=2.8017 ppl=16.5 lr=1.85e-05 | 1218 tok/s (avg 1230) ETA 256m04s | GPU 0.9/3.8GB | gtok=21098496
  [1] 5200/9766 (53%) loss=2.8178 ppl=16.7 lr=1.83e-05 | 1233 tok/s (avg 1230) ETA 253m17s | GPU 0.9/3.8GB | gtok=21303296
  [1] 5250/9766 (54%) loss=2.2692 ppl=9.7 lr=1.80e-05 | 1230 tok/s (avg 1230) ETA 250m31s | GPU 0.9/3.8GB | gtok=21508096
  [1] 5300/9766 (54%) loss=2.2966 ppl=9.9 lr=1.78e-05 | 1244 tok/s (avg 1230) ETA 247m43s | GPU 0.9/3.8GB | gtok=21712896
  [1] 5350/9766 (55%) loss=2.5178 ppl=12.4 lr=1.76e-05 | 1231 tok/s (avg 1230) ETA 244m57s | GPU 0.9/3.8GB | gtok=21917696
